カテゴリ,入荷日,検査完了日,品番,品名,サプライヤ,入荷数量,検査数量,検査工数(分),作業者,検査内容,検査結果・備考
メカ,2024-11-27,2024-12-20,EX002049-02,FA28.2*9.2　L,T-motor,70,外観全数,120,角田,外観,良　基準内
メカ,2024-12-10,2024-12-11,EX002049-02,FA28.2*9.2　L,T-motor,100,外観全数,120,角田,外観,良　基準内
メカ,2025-01-17,2025-01-20,EX002049-02,FA28.2*9.2　L,T-motor,100,外観全数,120,角田,外観,バフキズ、表面模様ムラ、キズ、凹みあり。準体裁面
メカ,2025-01-27,2025-01-29,EX002049-02,FA28.2*9.2　L,T-motor,100,外観全数,100,角田,外観,補修跡目立つ
メカ,2025-04-10,2025-04-24,EX002049-02,FA28.2*9.2　L,T-motor,100,,120,西村,外観,
メカ,2025-06-06,2025-06-13,EX002049-02,FA28.2*9.2　L,T-motor,100,,120,,外観,汚れが多い
メカ,2025-07-22,2025-07-25,EX002049-02,FA28.2*9.2　L,T-motor,100,,200,西村、長野、石川,外観,汚れ、曇りキズ多し
メカ,2025-08-26,2025-09-04,EX002049-02,FA28.2*9.2　L,T-motor,100(72）,外観全数,40,西村・長野将,外観,16枚除外（汚れ？）
メカ,2025-09-19,2025-09-30,EX002049-02,FA28.2*9.2　L,T-motor,100,外観全数,120,西村、長野佳,外観,
メカ,2025-10-23,2025-11-14,EX002049-02,FA28.2*9.2　L,T-motor,200,外観全数,140,西浦長野将,外観,
