カテゴリ,入荷日,検査完了日,品番,品名,サプライヤ,入荷数量,検査数量,検査工数(分),作業者,検査内容,検査結果・備考
エレキ,2024-12-10,2024-12-13,EX002617-02,U8 Lite Armset CW（ver2023),T-MOTOR,100/400,全数,240,西村・加藤,外観・キャリブレーション,２名で作業
エレキ,2025-01-16,2025-01-27,EX002617-02,U8 Lite Armset CW（ver2023),T-MOTOR,100,外観全数,60,西村,外観・キャリブレーション,アーム取り付け用皿ネジ２本全て装着済
エレキ,2025-01-27,2025-01-30,EX002617-02,U8 Lite Armset CW（ver2023),T-MOTOR,100,外観全数,120,角田,外観のみ,キズ、皿ネジあるか。この後キャリブレーション４ｈ
エレキ,2025-04-10,2025-04-23,EX002617-02,U8 Lite Armset CW（ver2023),T-MOTOR,100,外観全数,90,長屋、西浦、掛川西村,外観,外観のみキャリブレーション未実施
エレキ,2025-06-06,,EX002617-02,U8 Lite Armset CW（ver2023),T-MOTOR,,,,,,
エレキ,2025-07-22,2025-07-28,EX002617-02,U8 Lite Armset CW（ver2023),T-MOTOR,100,外観全数,120,西村,外観コネクタ,
エレキ,2025-09-19,2025-09-26,EX002617-02,U8 Lite Armset CW（ver2023),T-MOTOR,100,外観全数,120,西村、長野佳,コネクタ周り,本体と配線部のラップ剥がしと外観、取り付けてあるネジの脱落の有無、配線のコネクタ端子の抜けや、被覆の痛みが無いことを確認する
エレキ,2025-10-23,2026-12-24,EX002617-02,U8 Lite Armset CW（ver2023),T-MOTOR,250,外観、配線断線,,杉山（残数検査),外観、ハーネス,本体と配線部のラップ剥がしと外観、取り付けてあるネジの脱落の有無、配線のコネクタ端子の抜けや、被覆の痛みが無いことを確認する
エレキ,,2026-02-05,EX002617-02,U8 Lite Armset CW（ver2023),T-MOTOR,250,全数,130,杉山,員数,
エレキ,,2026-02-05,EX002617-02,U8 Lite Armset CW（ver2023),T-MOTOR,300,全数,160,杉山,員数,
